,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
14617,ENSMUSG00000049686,Orai1,363.5031829,2.909612898,0.162787303,17.87370914,1.89E-71,3.56E-67
6324,ENSMUSG00000027808,Serp1,4530.19065,1.751482791,0.098268597,17.82342312,4.65E-71,4.38E-67
17877,ENSMUSG00000063888,Rpl7l1,1099.450262,0.822805602,0.046520677,17.68687932,5.29E-70,3.32E-66
15563,ENSMUSG00000053560,Ier2,786.8821894,2.02666303,0.118988712,17.03239745,4.72E-65,2.22E-61
4658,ENSMUSG00000024750,Zfand5,3321.408128,2.095515418,0.126275552,16.59478332,7.60E-62,2.86E-58
15288,ENSMUSG00000052310,Slc39a1,2634.624616,0.715084392,0.043716753,16.35721665,3.86E-60,1.21E-56
11720,ENSMUSG00000039910,Cited2,2469.662134,1.728218723,0.110464214,15.64505512,3.59E-55,9.66E-52
8470,ENSMUSG00000031609,Sap30,857.0355661,2.159777358,0.138589594,15.58397923,9.35E-55,2.20E-51
15639,ENSMUSG00000053907,Mat2a,2241.686707,0.776748252,0.050908158,15.25783439,1.46E-52,3.05E-49
16141,ENSMUSG00000056201,Cfl1,14848.2041,1.038083342,0.068275706,15.20428576,3.31E-52,6.23E-49
15375,ENSMUSG00000052681,Rap1b,6246.502359,1.804431155,0.11909574,15.15109742,7.45E-52,1.28E-48
19866,ENSMUSG00000070462,Mesdc1,1272.771627,1.68146807,0.111293885,15.10835998,1.43E-51,2.24E-48
9094,ENSMUSG00000032643,Fhl3,1092.573916,1.780873139,0.118315644,15.05188223,3.36E-51,4.86E-48
5490,ENSMUSG00000026321,Tnfrsf11a,1258.9705,2.587726247,0.172467026,15.00417971,6.89E-51,9.27E-48
8141,ENSMUSG00000031015,Swap70,1371.520606,1.40841421,0.09438438,14.92211111,2.37E-50,2.97E-47
15976,ENSMUSG00000055435,Maf,4318.523229,2.806895009,0.189080479,14.84497516,7.50E-50,8.82E-47
1622,ENSMUSG00000015568,Lpl,50357.28516,2.561876862,0.175930609,14.56185979,4.91E-48,5.44E-45
13262,ENSMUSG00000044786,Zfp36,3221.92127,3.055122943,0.211028648,14.47729003,1.69E-47,1.76E-44
2870,ENSMUSG00000021009,Ptpn21,289.8341377,-1.714943624,0.120418766,-14.24149813,5.06E-46,4.77E-43
6398,ENSMUSG00000027940,Tpm3,8179.160381,1.243344168,0.087299756,14.24224098,5.01E-46,4.77E-43
2786,ENSMUSG00000020868,Xylt2,2270.993354,1.832187956,0.129132781,14.18840317,1.08E-45,9.69E-43
5612,ENSMUSG00000026548,Slamf9,548.018917,3.150606673,0.222172866,14.18087965,1.20E-45,1.03E-42
2949,ENSMUSG00000021149,Gtpbp4,879.8022941,0.975255638,0.069064512,14.12093714,2.82E-45,2.31E-42
22663,ENSMUSG00000078771,Evi2a,1579.52074,2.498768414,0.177694524,14.0621577,6.49E-45,5.09E-42
1880,ENSMUSG00000018008,Cyth4,3425.350009,2.003774228,0.143440663,13.96935979,2.40E-44,1.81E-41
6977,ENSMUSG00000028907,Utp11l,540.3637211,0.934239772,0.067314691,13.87869074,8.53E-44,6.17E-41
9394,ENSMUSG00000033581,Igf2bp2,989.0869784,2.250797809,0.162592712,13.84316544,1.40E-43,9.75E-41
1177,ENSMUSG00000008475,Arpc5,4999.043041,1.515821507,0.110228554,13.75162286,4.98E-43,3.35E-40
3718,ENSMUSG00000022489,Pde1b,1062.810007,1.940091126,0.141600246,13.70118474,9.99E-43,6.48E-40
30968,ENSMUSG00000089911,Hiat1,747.0205533,1.03486505,0.075649055,13.6798146,1.34E-42,8.41E-40
3185,ENSMUSG00000021591,Glrx,1432.68965,1.768097567,0.129799149,13.62179632,2.97E-42,1.80E-39
11654,ENSMUSG00000039735,Fnbp1l,2463.589405,1.920994689,0.141580559,13.56820949,6.18E-42,3.64E-39
12010,ENSMUSG00000040659,Efhd2,6562.197514,1.529288541,0.113135559,13.51731099,1.24E-41,7.05E-39
8492,ENSMUSG00000031642,Sh3rf1,155.4724563,-1.519822214,0.113121152,-13.43534948,3.75E-41,2.08E-38
977,ENSMUSG00000006304,Arpc2,7836.789174,1.198394797,0.089804936,13.34442012,1.28E-40,6.74E-38
14888,ENSMUSG00000050721,Plekho2,4651.384295,1.700243007,0.127418928,13.34372401,1.29E-40,6.74E-38
7310,ENSMUSG00000029438,Bcl7a,192.199379,-2.069029027,0.155820061,-13.27832255,3.09E-40,1.57E-37
14474,ENSMUSG00000049130,C5ar1,6378.022606,2.049519372,0.15518396,13.207031,7.99E-40,3.96E-37
8910,ENSMUSG00000032340,Neo1,731.5707253,-1.882404032,0.142946505,-13.16859079,1.33E-39,6.42E-37
9190,ENSMUSG00000032911,Cspg4,563.3667124,-1.964668052,0.149401993,-13.1502131,1.70E-39,7.99E-37
6252,ENSMUSG00000027663,Zmat3,924.0508473,-1.39294482,0.10614592,-13.12292378,2.43E-39,1.12E-36
1769,ENSMUSG00000017009,Sdc4,9989.763295,1.716798327,0.131299963,13.07539078,4.55E-39,2.04E-36
10354,ENSMUSG00000036432,Siah2,249.6860325,1.282498864,0.098263322,13.05165381,6.22E-39,2.72E-36
2865,ENSMUSG00000020993,Trappc6b,484.8787978,0.836848514,0.06447464,12.97949889,1.60E-38,6.84E-36
2381,ENSMUSG00000020205,Phlda1,1350.761588,1.544597417,0.119232773,12.95447029,2.22E-38,9.27E-36
7785,ENSMUSG00000030327,Necap1,657.5101841,1.089698496,0.08422309,12.93823936,2.74E-38,1.12E-35
10030,ENSMUSG00000035390,Brsk1,122.5081711,-2.347125819,0.181717591,-12.916338,3.64E-38,1.46E-35
14692,ENSMUSG00000049988,Lrrc25,1032.45242,1.959909868,0.153426758,12.77423761,2.28E-37,8.96E-35
