,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
3235,ENSMUSG00000021681,Aggf1,1137.081928,1.239904581,0.043173999,28.71878005,2.22E-181,4.24E-177
14617,ENSMUSG00000049686,Orai1,395.1354272,2.739765996,0.146698062,18.67622486,7.73E-78,7.37E-74
1103,ENSMUSG00000007458,M6pr,3460.420177,1.370619472,0.077010932,17.79772601,7.36E-71,4.68E-67
6279,ENSMUSG00000027712,Anxa5,12707.74453,1.185728151,0.069934236,16.95490238,1.77E-64,8.44E-61
10529,ENSMUSG00000036932,Aifm1,520.5330808,1.242624064,0.073779694,16.84235854,1.19E-63,4.55E-60
2299,ENSMUSG00000020077,Srgn,2643.676764,3.159344357,0.190188016,16.61168998,5.74E-62,1.77E-58
9961,ENSMUSG00000035203,Epn1,2561.082229,1.44730968,0.08716518,16.60421825,6.50E-62,1.77E-58
5209,ENSMUSG00000025810,Nrp1,8347.453694,1.447888855,0.087547858,16.5382556,1.95E-61,4.55E-58
6374,ENSMUSG00000027893,Ahcyl1,2653.869694,0.828762465,0.050129955,16.53228029,2.15E-61,4.55E-58
7841,ENSMUSG00000030435,U2af2,2756.873309,0.701990016,0.042577122,16.48749342,4.51E-61,8.61E-58
2643,ENSMUSG00000020644,Id2,2554.097686,1.756027382,0.107510804,16.33349683,5.70E-60,9.88E-57
6398,ENSMUSG00000027940,Tpm3,8106.699976,1.178569999,0.072611108,16.23126319,3.03E-59,4.82E-56
7388,ENSMUSG00000029570,Lfng,874.8621562,2.616106848,0.163612635,15.98963827,1.51E-57,2.21E-54
688,ENSMUSG00000004266,Ptpn6,2138.885099,3.054871081,0.192973609,15.83051222,1.92E-56,2.61E-53
2923,ENSMUSG00000021108,Prkch,1193.664858,2.806832436,0.177507615,15.8124621,2.55E-56,3.25E-53
16817,ENSMUSG00000059248,9-Sep,2990.835093,0.955059417,0.060678201,15.73974523,8.08E-56,9.63E-53
1712,ENSMUSG00000016319,Slc25a5,3472.904067,0.676074626,0.043308863,15.6105375,6.17E-55,6.92E-52
5664,ENSMUSG00000026627,Tmem206,1361.157501,1.994160532,0.128541336,15.51376851,2.80E-54,2.97E-51
3340,ENSMUSG00000021866,Anxa11,987.9011464,1.448135757,0.093468103,15.4933685,3.85E-54,3.86E-51
168,ENSMUSG00000000982,Ccl3,9908.966291,3.324256482,0.21478484,15.47714673,4.95E-54,4.72E-51
11107,ENSMUSG00000038366,Lasp1,8439.48665,1.777995101,0.115793634,15.35486052,3.29E-53,2.98E-50
6849,ENSMUSG00000028692,Akr1a1,14601.70728,1.641433382,0.107129864,15.32190295,5.46E-53,4.73E-50
15898,ENSMUSG00000055053,Nfic,2607.245447,1.587670611,0.103683367,15.31268378,6.29E-53,5.22E-50
8070,ENSMUSG00000030852,Tacc2,709.274116,1.355511546,0.088568613,15.30464905,7.12E-53,5.66E-50
6708,ENSMUSG00000028465,Tln1,17909.60331,1.657706214,0.108900846,15.22216109,2.52E-52,1.92E-49
16119,ENSMUSG00000056091,St3gal5,723.487183,2.254057372,0.148489284,15.17993289,4.80E-52,3.52E-49
1880,ENSMUSG00000018008,Cyth4,5372.891011,2.684409669,0.177331513,15.13780391,9.12E-52,6.21E-49
15288,ENSMUSG00000052310,Slc39a1,2322.444629,0.632640835,0.041788229,15.1392115,8.93E-52,6.21E-49
2675,ENSMUSG00000020689,Itgb3,1762.094207,2.302805522,0.153131333,15.03810798,4.13E-51,2.72E-48
6415,ENSMUSG00000027966,Col11a1,1139.448678,-3.265324912,0.217824273,-14.99063839,8.45E-51,5.37E-48
3379,ENSMUSG00000021930,Spryd7,874.2304257,1.890151668,0.126114375,14.98759896,8.85E-51,5.44E-48
