,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,CreERT2_gene,CreERT2_gene,561.4418609,10.02189264,0.777909858,12.88310276,5.60E-38,9.43E-34
43535,ENSMUSG00000105107,RP23-214I6.4,58.44477149,3.318078463,0.425150619,7.804477562,5.97E-15,5.03E-11
32518,ENSMUSG00000092746,Rn7s6,115.1978098,-20.52476221,2.708164105,-7.578847297,3.49E-14,1.95E-10
14617,ENSMUSG00000049686,Orai1,191.0429253,-1.703996462,0.237917611,-7.162128315,7.94E-13,3.34E-09
44202,ENSMUSG00000105780,SNORD77,33.30243284,-30.9428462,4.347795139,-7.116905285,1.10E-12,3.71E-09
15948,ENSMUSG00000055305,Zfp93,64.00057145,-4.258660217,0.770109084,-5.529944143,3.20E-08,8.98E-05
18795,ENSMUSG00000065635,Gm24253,9.080908131,-33.70452099,6.439667488,-5.233891509,1.66E-07,0.000398869
35648,ENSMUSG00000096768,Erdr1,830.5617809,1.779155504,0.345985107,5.142289267,2.71E-07,0.000570709
7218,ENSMUSG00000029287,Tgfbr3,25.65581541,2.703015633,0.587650034,4.599703018,4.23E-06,0.007908091
6375,ENSMUSG00000027894,Slc6a17,28.56699229,4.744616455,1.102324718,4.304191294,1.68E-05,0.028193135
34407,ENSMUSG00000095260,Gm25890,15.3117935,26.68296206,6.412392798,4.161155267,3.17E-05,0.048423152
6135,ENSMUSG00000027457,Snph,44.44133939,-1.710966766,0.418667769,-4.086693295,4.38E-05,0.056620904
16405,ENSMUSG00000057378,Ryr3,11.15752768,-6.641666001,1.620878936,-4.097570677,4.18E-05,0.056620904
6670,ENSMUSG00000028412,Slc44a1,213.0818825,-1.014192069,0.254591806,-3.983600588,6.79E-05,0.081561372
11932,ENSMUSG00000040473,Cfap69,21.14118421,3.587306851,0.930158433,3.85666218,0.000114946,0.128907933
22985,ENSMUSG00000079481,Nhsl2,227.58441,1.81423075,0.473881389,3.828449041,0.000128953,0.135578301
1679,ENSMUSG00000015944,Gatsl2,135.5854695,1.106598619,0.300184505,3.686394871,0.000227453,0.18123967
5068,ENSMUSG00000025477,Inpp5a,98.71908575,-1.773143993,0.482372137,-3.675883939,0.000237027,0.18123967
6741,ENSMUSG00000028532,Cachd1,32.8663962,2.646748571,0.717176716,3.690511018,0.000223804,0.18123967
15292,ENSMUSG00000052336,Cx3cr1,16871.37916,-0.965538825,0.260720537,-3.703347791,0.000212773,0.18123967
17579,ENSMUSG00000062590,Armc9,85.53357575,-1.417879133,0.381320391,-3.718340706,0.000200536,0.18123967
22721,ENSMUSG00000078901,Gm14440,14.9088923,-23.77282331,6.45180978,-3.684675172,0.000228994,0.18123967
5429,ENSMUSG00000026211,Obsl1,8.714520947,3.335900163,0.912694455,3.655002114,0.00025718,0.188099112
10678,ENSMUSG00000037325,Bbs7,71.35531065,2.177451484,0.600319132,3.627156572,0.00028656,0.197346254
12351,ENSMUSG00000041720,Pi4ka,548.5216866,0.517506514,0.142911837,3.621159206,0.000293286,0.197346254
20381,ENSMUSG00000072844,G530011O06Rik,235.0332656,1.154145296,0.320768207,3.598066359,0.000320592,0.207422915
19453,ENSMUSG00000068417,Pnp2,8.866564094,3.486902763,0.979123491,3.561249214,0.000369095,0.22993751
34669,ENSMUSG00000095580,Rnu1b1,21.16913688,-22.81069527,6.438939676,-3.542616707,0.000396178,0.22993751
39911,ENSMUSG00000101337,Dnah7c,12.49066028,-6.230224677,1.758722794,-3.542471104,0.000396397,0.22993751
1990,ENSMUSG00000018733,Pex12,70.53128071,-1.638122457,0.463612195,-3.533389488,0.000410268,0.230050703
19545,ENSMUSG00000068923,Syt11,177.9667065,0.775875298,0.220748892,3.514741521,0.000440182,0.231398281
22925,ENSMUSG00000079364,Gm3558,51.16872871,-2.395247483,0.680609393,-3.519268917,0.000432738,0.231398281
3911,ENSMUSG00000022812,Gsk3b,781.8801874,0.532854455,0.152077211,3.503841582,0.000458598,0.233773848
737,ENSMUSG00000004633,Chn2,379.9014833,0.68151245,0.195148659,3.49227329,0.000478928,0.236956652
6777,ENSMUSG00000028583,Pdpn,9.168094486,3.504094283,1.020187147,3.434756352,0.000593087,0.285054469
4262,ENSMUSG00000024039,Cbs,77.21806787,-4.068115783,1.189651403,-3.419586419,0.000627164,0.293059837
6411,ENSMUSG00000027961,Lrrc39,60.4557413,2.589325066,0.759748358,3.408135128,0.000654085,0.29737884
3456,ENSMUSG00000022051,Bnip3l,532.0879036,0.608869641,0.17913881,3.398870635,0.000676647,0.299541001
4173,ENSMUSG00000023868,Pde10a,20.52571956,3.05424246,0.904844392,3.375433929,0.000736994,0.317890019
1046,ENSMUSG00000006675,P4htm,10.85821527,4.14830782,1.245389081,3.330933187,0.000865554,0.346674883
1949,ENSMUSG00000018509,Cenpv,15.92765615,2.017411603,0.603753172,3.341450939,0.000833417,0.346674883
5874,ENSMUSG00000026970,Rbms1,408.1918052,-2.408845424,0.721862511,-3.336986458,0.000846921,0.346674883
12199,ENSMUSG00000041245,Wnk3,13.1403527,3.244438752,0.990380917,3.275950391,0.001053071,0.399978217
13765,ENSMUSG00000046607,Hrk,4.335980948,-5.090182911,1.555940163,-3.271451584,0.001069969,0.399978217
35929,ENSMUSG00000097080,1700086O06Rik,8.754099991,-2.052782148,0.625970865,-3.279357335,0.001040438,0.399978217
862,ENSMUSG00000005533,Igf1r,312.2286377,0.672223197,0.20604525,3.262502756,0.001104331,0.403849042
1805,ENSMUSG00000017412,Cacnb4,230.9627007,6.729672423,2.068407297,3.253552834,0.001139715,0.407921078
3300,ENSMUSG00000021779,Thrb,8.150781857,2.979348488,0.923962724,3.224533211,0.001261782,0.431373645
10914,ENSMUSG00000037958,Ccdc55,566.8028505,-1.053720212,0.327125626,-3.221148473,0.00127678,0.431373645
40451,ENSMUSG00000101892,9130401M01Rik,61.20557935,-1.25628723,0.390158497,-3.219940714,0.001282171,0.431373645
14926,ENSMUSG00000050855,Zfp940,106.9146093,3.376886327,1.051701192,3.210880004,0.001323292,0.436478717
2277,ENSMUSG00000020037,Rfx4,25.42348218,6.209996964,1.952137501,3.181126822,0.001467034,0.443880478
3946,ENSMUSG00000022865,Cxadr,9.798104053,3.714226294,1.165868914,3.185800951,0.001443539,0.443880478
6459,ENSMUSG00000028035,Dnajb4,212.0944184,-1.141329907,0.358270212,-3.185667879,0.001444203,0.443880478
13794,ENSMUSG00000046709,Mapk10,55.98154809,-4.31472784,1.352753136,-3.189589974,0.001424748,0.443880478
15547,ENSMUSG00000053477,Tcf4,1461.557939,-0.468682853,0.147429321,-3.1790342,0.001477667,0.443880478
7204,ENSMUSG00000029267,Mtf2,228.9304431,-0.474599377,0.149859961,-3.166952495,0.001540455,0.454623347
3772,ENSMUSG00000022568,Scrib,562.1715657,-0.599415257,0.190207193,-3.151380602,0.001625006,0.471286234
19208,ENSMUSG00000067158,Col4a4,14.67065438,2.390059844,0.75961772,3.146398222,0.001652948,0.471286234
3161,ENSMUSG00000021549,Rasa1,1012.269659,-0.38039296,0.121372718,-3.134089505,0.001723883,0.475395964
19574,ENSMUSG00000069094,Pde7a,139.9519314,-2.453959955,0.782392737,-3.136481001,0.001709885,0.475395964
344,ENSMUSG00000001946,Esam,5.495377743,-5.06843147,1.625151367,-3.118744242,0.001816235,0.479944495
5567,ENSMUSG00000026463,Atp2b4,84.17594137,3.604314998,1.156824249,3.115697999,0.001835101,0.479944495
7469,ENSMUSG00000029686,Cul1,683.3830514,0.432456171,0.139312984,3.104205783,0.001907906,0.479944495
12692,ENSMUSG00000042709,Atpaf2,86.98094416,0.715096415,0.229701223,3.11315893,0.001850963,0.479944495
20093,ENSMUSG00000071267,Zfp942,126.953035,-0.591557438,0.190512563,-3.10508362,0.001902252,0.479944495
24433,ENSMUSG00000081944,Gm12276,3.86214801,-3.279694991,1.056725506,-3.103639472,0.001911561,0.479944495
10840,ENSMUSG00000037747,Phyhipl,13.70357841,-2.108466228,0.681698455,-3.092960256,0.001981707,0.490239275
1051,ENSMUSG00000006711,D130043K22Rik,6.91403597,5.362064012,1.737918123,3.085337531,0.002033213,0.495691367
15181,ENSMUSG00000051790,Nlgn2,71.43606172,1.184764946,0.386754577,3.063350805,0.002188733,0.52598384
6577,ENSMUSG00000028243,Ubxn2b,97.15257695,0.546480745,0.180521708,3.027230086,0.00246806,0.561849705
11167,ENSMUSG00000038518,Jarid2,512.5068824,-0.74387829,0.246094073,-3.022739557,0.002504977,0.561849705
15361,ENSMUSG00000052605,Isoc2b,29.14009736,-3.244836084,1.072752561,-3.024775891,0.002488174,0.561849705
32088,ENSMUSG00000092187,Gm20457,5.341929503,-3.307642533,1.089095413,-3.037054875,0.00238902,0.561849705
36393,ENSMUSG00000097601,Gm26660,3.364340445,3.993726757,1.319007834,3.027826411,0.002463195,0.561849705
10208,ENSMUSG00000035949,Fbxw2,241.9336887,0.873728381,0.291142189,3.001036658,0.002690622,0.595547874
9629,ENSMUSG00000034275,Igsf9b,3.634726214,-4.866951694,1.623950658,-2.996982494,0.002726664,0.595687492
130,ENSMUSG00000000743,Chmp1a,163.3354343,0.521444934,0.175741321,2.967116275,0.003006073,0.602543897
4768,ENSMUSG00000024935,Slc1a1,4.005507567,-4.370256785,1.472809365,-2.967292909,0.003004346,0.602543897
7056,ENSMUSG00000029029,Wrap73,75.59611127,1.577026423,0.53475296,2.949074693,0.003187269,0.602543897
7536,ENSMUSG00000029821,Dfna5,21.42403064,-1.518312351,0.514853866,-2.949016124,0.003187873,0.602543897
9341,ENSMUSG00000033405,Nudt15,7.309934036,2.242715304,0.758802066,2.95559989,0.003120616,0.602543897
9536,ENSMUSG00000034035,Ccdc17,32.36468111,-1.305193022,0.438621977,-2.975667183,0.002923519,0.602543897
11015,ENSMUSG00000038172,Ttc39b,423.0060874,0.593693177,0.200420928,2.962231455,0.003054181,0.602543897
12708,ENSMUSG00000042757,Tmem108,9.203600589,2.885651301,0.9736211,2.963833981,0.003038322,0.602543897
15112,ENSMUSG00000051499,Zfp786,7.90424292,2.634867962,0.886223796,2.973140614,0.002947694,0.602543897
29058,ENSMUSG00000087424,5730405O15Rik,11.36857555,1.789643711,0.606553828,2.95051095,0.003172488,0.602543897
33217,ENSMUSG00000093834,Rnu1b2,16.09262851,-19.0518163,6.446699745,-2.955282091,0.003123833,0.602543897
36168,ENSMUSG00000097345,AA543186,3.140208922,-4.320308245,1.445468181,-2.988864301,0.002800165,0.602543897
2305,ENSMUSG00000020085,Aifm2,9.09416886,2.647817296,0.900149046,2.941532082,0.00326593,0.603189787
5921,ENSMUSG00000027078,Ube2l6,48.18049377,1.292628675,0.439730143,2.939595333,0.003286412,0.603189787
35844,ENSMUSG00000096988,A930029G22Rik,2.084282884,-4.194737445,1.427547004,-2.938423347,0.003298862,0.603189787
