,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,CreERT2_gene,CreERT2_gene,585.077855,11.93194796,1.188047451,10.04332609,9.83E-24,1.69E-19
15292,ENSMUSG00000052336,Cx3cr1,17594.88335,-0.85575386,0.122329062,-6.995507406,2.64E-12,2.27E-08
43535,ENSMUSG00000105107,RP23-214I6.4,55.3071127,2.755046741,0.405418177,6.79556788,1.08E-11,6.18E-08
18004,ENSMUSG00000064354,mt-Co2,247.0508049,-23.91460287,3.610734785,-6.623195634,3.52E-11,1.51E-07
22715,ENSMUSG00000078894,2210418O10Rik,64.3985794,-22.41421502,4.085498414,-5.486286557,4.10E-08,0.000141177
14617,ENSMUSG00000049686,Orai1,190.2972657,-1.199560675,0.225378298,-5.32243205,1.02E-07,0.000293464
18795,ENSMUSG00000065635,Gm24253,11.84039111,-30.67739988,6.243553569,-4.913451857,8.95E-07,0.002198433
33228,ENSMUSG00000093852,Gm24312,17.45042004,26.9840916,6.23616458,4.327033268,1.51E-05,0.032487528
5929,ENSMUSG00000027099,Mtx2,62.65945315,-1.343700067,0.31378598,-4.282218309,1.85E-05,0.034991787
9537,ENSMUSG00000034037,Fgd5,7.984643742,-7.516040957,1.76389747,-4.26104186,2.03E-05,0.034991787
7440,ENSMUSG00000029648,Flt1,67.55605802,-3.997725126,0.964836594,-4.143421956,3.42E-05,0.049034601
15779,ENSMUSG00000054514,Atad3aos,26.3780651,-3.216030733,0.77576193,-4.145641348,3.39E-05,0.049034601
4340,ENSMUSG00000024164,C3,157.4463696,2.213497363,0.588252023,3.762838504,0.000167996,0.198482297
6065,ENSMUSG00000027350,Chgb,14.82399361,6.115191143,1.623346263,3.767028194,0.000165202,0.198482297
7158,ENSMUSG00000029189,Sel1l3,6.341563649,-3.295551782,0.877570547,-3.755312654,0.000173125,0.198482297
9166,ENSMUSG00000032850,Rnft2,32.61395773,-2.868223273,0.767934909,-3.734982273,0.000187728,0.201772842
9431,ENSMUSG00000033720,Sfxn5,103.5974541,1.527627611,0.41214703,3.706511266,0.000210134,0.212568974
8450,ENSMUSG00000031575,Ash2l,310.8540949,0.431937473,0.120415253,3.587066121,0.00033442,0.319500718
19160,ENSMUSG00000066877,Nck2,7.260256718,5.579667486,1.56178324,3.572626048,0.000353419,0.319881645
2368,ENSMUSG00000020180,Snrpd3,120.9752961,-0.687615292,0.195246905,-3.521773076,0.000428671,0.351040653
14011,ENSMUSG00000047466,8030462N17Rik,177.434618,0.461385444,0.130850346,3.526054445,0.0004218,0.351040653
19872,ENSMUSG00000070476,Fam217b,418.743202,-1.123154168,0.32250735,-3.482569216,0.000496627,0.388204153
34407,ENSMUSG00000095260,Gm25890,14.8712599,-21.35945049,6.23459479,-3.425956491,0.000612639,0.45806715
3397,ENSMUSG00000021959,Lats2,532.8957792,-1.086218051,0.319529372,-3.399430992,0.000675262,0.475090943
4168,ENSMUSG00000023830,Igf2r,59.97922318,-2.738725912,0.809784622,-3.382042384,0.00071949,0.475090943
5986,ENSMUSG00000027221,Chst1,218.1538636,1.029057681,0.305166154,3.372122589,0.000745912,0.475090943
8670,ENSMUSG00000031934,Panx1,57.3173348,2.098208445,0.619818908,3.385195932,0.000711275,0.475090943
3035,ENSMUSG00000021298,Gpr132,3.078407923,5.051931673,1.514353631,3.336031671,0.000849835,0.521950334
9147,ENSMUSG00000032802,Srxn1,42.66481564,-2.557669526,0.771290424,-3.316091378,0.00091286,0.541325834
16346,ENSMUSG00000057133,Chd6,992.2921914,-0.506523507,0.154460075,-3.279316729,0.001040588,0.596499584
2525,ENSMUSG00000020444,Guk1,55.87484133,3.348184262,1.036563877,3.230080014,0.001237556,0.686524091
12459,ENSMUSG00000042066,Tmcc2,34.08620341,1.967082349,0.611100678,3.218916981,0.001286757,0.691511433
3903,ENSMUSG00000022801,Lrch3,733.3506102,-0.509607148,0.16056522,-3.173832722,0.001504404,0.739177991
7139,ENSMUSG00000029163,Emilin1,57.0640525,1.681166159,0.529544045,3.174742831,0.001499693,0.739177991
14418,ENSMUSG00000048930,Tada3,155.5495304,-0.750638051,0.235985383,-3.180866727,0.001468352,0.739177991
22576,ENSMUSG00000078578,Ube2d3,1426.742771,-0.513515248,0.162215507,-3.165636006,0.001547443,0.739204929
10720,ENSMUSG00000037418,Best1,11.95567163,5.770843928,1.83705194,3.141361331,0.001681644,0.741518861
17709,ENSMUSG00000063193,Cd300lb,18.93681029,-6.377653315,2.02841378,-3.144157951,0.001665655,0.741518861
25442,ENSMUSG00000083097,Gm14494,8.407699418,-5.391051497,1.711661594,-3.149601251,0.001634934,0.741518861
16156,ENSMUSG00000056258,Kcnq3,10.24920263,-3.730186887,1.190327601,-3.133748125,0.001725889,0.742002968
2633,ENSMUSG00000020630,Rnaseh1,92.206497,0.634912683,0.204723322,3.101320727,0.001926595,0.791252988
21097,ENSMUSG00000074903,Gm2058,3.814058198,4.751071687,1.535121128,3.094916485,0.001968683,0.791252988
33386,ENSMUSG00000094026,Gm23002,6.214273516,3.367396075,1.088558854,3.0934442,0.001978478,0.791252988
28630,ENSMUSG00000086916,Gm15903,61.72876952,2.126982144,0.689500984,3.084813792,0.002036796,0.79606331
4249,ENSMUSG00000024018,Ccdc167,120.0949697,1.716157746,0.562086497,3.053191556,0.002264214,0.828461281
14469,ENSMUSG00000049119,Fam110b,8.116551808,4.021053249,1.316110989,3.055253914,0.002248701,0.828461281
15819,ENSMUSG00000054716,Zfp771,69.87153133,3.0502519,0.995016807,3.065528017,0.00217286,0.828461281
24268,ENSMUSG00000081756,Gm12291,9.888151309,5.835356464,1.92508636,3.03121802,0.002435693,0.872637781
9432,ENSMUSG00000033721,Vav3,12.41172132,2.628933751,0.872726935,3.012321089,0.002592582,0.891692686
15082,ENSMUSG00000051390,Zbtb22,157.039335,0.801537205,0.265947787,3.013889363,0.002579218,0.891692686
627,ENSMUSG00000003731,Kpna6,394.9094789,-0.435071043,0.147353267,-2.952571399,0.003151392,0.962659263
842,ENSMUSG00000005378,Wbscr22,166.3757999,0.56208017,0.191544795,2.934458079,0.003341307,0.962659263
1046,ENSMUSG00000006675,P4htm,11.17205373,-3.72905642,1.270757118,-2.934515469,0.003340689,0.962659263
1587,ENSMUSG00000015314,Slamf6,214.8386465,-0.845851789,0.287298793,-2.944153642,0.003238392,0.962659263
2019,ENSMUSG00000018882,Mrpl45,76.82286516,0.995269211,0.334388604,2.976384961,0.002916685,0.962659263
2889,ENSMUSG00000021047,Nova1,218.0169381,-0.529895232,0.179168232,-2.957528953,0.003101156,0.962659263
2991,ENSMUSG00000021235,Coq6,51.2450043,1.586127099,0.541952492,2.926690297,0.003425898,0.962659263
6121,ENSMUSG00000027434,Nkx2-2,4.887903636,5.457628358,1.871326553,2.916448949,0.003540407,0.962659263
