,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,CreERT2_gene,CreERT2_gene,561.4418609,12.26109363,1.218496181,10.06248014,8.09E-24,1.36E-19
3519,ENSMUSG00000022159,Rab2b,111.2503363,-1.558564115,0.242166259,-6.435925979,1.23E-10,1.03E-06
14617,ENSMUSG00000049686,Orai1,191.0429253,-1.457051323,0.251038461,-5.804095994,6.47E-09,3.63E-05
28290,ENSMUSG00000086503,Xist,5314.178246,15.85665692,2.780033531,5.703764629,1.17E-08,4.93E-05
43535,ENSMUSG00000105107,RP23-214I6.4,58.44477149,2.250542439,0.405180571,5.554418445,2.79E-08,9.37E-05
37928,ENSMUSG00000099291,Rnu3b3,36.65014465,22.82424556,4.376291424,5.215430909,1.83E-07,0.000514166
15970,ENSMUSG00000055413,H2-Q5,38.05146752,3.838875638,0.749992104,5.118554742,3.08E-07,0.000739894
22869,ENSMUSG00000079227,Ccr5,2354.775397,-1.181234893,0.233518605,-5.058418757,4.23E-07,0.000888932
20381,ENSMUSG00000072844,G530011O06Rik,235.0332656,-1.621433386,0.3451927,-4.697183307,2.64E-06,0.004930224
18795,ENSMUSG00000065635,Gm24253,9.080908131,-30.86175951,6.878862094,-4.48646289,7.24E-06,0.012181706
35949,ENSMUSG00000097101,1810034E14Rik,18.26574,-5.699079312,1.31733046,-4.32623361,1.52E-05,0.023196094
15799,ENSMUSG00000054619,Mettl7a1,221.6385377,0.698640847,0.165308138,4.226294337,2.38E-05,0.03226934
22721,ENSMUSG00000078901,Gm14440,14.9088923,-28.95459225,6.868825234,-4.215363073,2.49E-05,0.03226934
15948,ENSMUSG00000055305,Zfp93,64.00057145,3.282570857,0.800016279,4.103130079,4.08E-05,0.048975803
35648,ENSMUSG00000096768,Erdr1,830.5617809,-1.508607131,0.372142141,-4.05384654,5.04E-05,0.056502041
16212,ENSMUSG00000056515,Rab31,484.4915685,0.509158512,0.127397561,3.996611133,6.43E-05,0.067556861
3822,ENSMUSG00000022664,Slc35a5,320.4376315,1.917042114,0.484760523,3.954616812,7.67E-05,0.07164061
10827,ENSMUSG00000037716,Ccdc33,13.24672416,6.25632632,1.580050786,3.95957293,7.51E-05,0.07164061
921,ENSMUSG00000005907,Pex1,130.2492533,1.012067916,0.262538342,3.85493375,0.000115761,0.097366554
40125,ENSMUSG00000101556,Gm28869,4.293451422,5.364821577,1.390340794,3.858637823,0.000114021,0.097366554
12318,ENSMUSG00000041638,Gcn1l1,2334.41483,1.456283046,0.386082471,3.771948106,0.000161978,0.12975205
6283,ENSMUSG00000027716,Trpc3,9.611014805,5.938954396,1.582440543,3.75303478,0.000174707,0.133587023
7653,ENSMUSG00000030104,Edem1,2157.476774,0.372987543,0.100424818,3.714097266,0.00020393,0.149152887
22596,ENSMUSG00000078616,Trim30c,52.30115461,-1.510491716,0.417852857,-3.614889051,0.000300476,0.210608829
5892,ENSMUSG00000026994,Galnt3,119.7115173,-1.294340146,0.359668101,-3.598707092,0.000319803,0.215189132
2675,ENSMUSG00000020689,Itgb3,681.497855,0.849474811,0.237370605,3.578685783,0.000345326,0.223426147
1378,ENSMUSG00000011751,Sptbn4,18.36905813,-3.808605424,1.072246892,-3.551985511,0.000382336,0.236714631
10645,ENSMUSG00000037235,Mxd4,459.9958172,0.582607764,0.164389705,3.544064782,0.000394008,0.236714631
7714,ENSMUSG00000030209,Grin2b,114.5444463,-5.769997828,1.657449973,-3.481250066,0.000499079,0.289500419
232,ENSMUSG00000001300,Efnb2,34.99511577,1.502686256,0.433084514,3.469729828,0.000520982,0.292132046
5140,ENSMUSG00000025612,Bach1,1369.995494,-0.481129314,0.140993685,-3.412417463,0.000643894,0.349406086
2080,ENSMUSG00000019302,Atp6v0a1,2065.206337,-0.818948248,0.246551158,-3.321615912,0.000894978,0.442596691
6978,ENSMUSG00000028909,Ptpru,17.52944173,3.647087598,1.098115216,3.321224901,0.000896233,0.442596691
8540,ENSMUSG00000031732,Phlpp2,283.1337786,0.561664568,0.169500325,3.313648921,0.000920871,0.442596691
43815,ENSMUSG00000105388,Rpl36a-ps2,21.94407525,-6.475541423,1.943760197,-3.331450779,0.000863946,0.442596691
20905,ENSMUSG00000074412,Gm10689,6.725087361,5.891289165,1.782757702,3.304593303,0.000951143,0.444448037
12413,ENSMUSG00000041895,Wipi1,142.0404537,2.826731795,0.866381158,3.262688448,0.001103608,0.501753757
3762,ENSMUSG00000022555,Dgat1,70.00632243,-0.738855995,0.227419654,-3.248866052,0.00115866,0.512920595
10934,ENSMUSG00000037996,Slc24a2,23.38051042,-3.642476056,1.125032293,-3.237663556,0.001205128,0.519812044
10767,ENSMUSG00000037544,Dlgap5,34.9347781,-3.913499538,1.217607715,-3.214088979,0.001308591,0.539993056
20255,ENSMUSG00000072066,6720489N17Rik,16.23773872,1.909276335,0.594376974,3.212231324,0.001317083,0.539993056
36301,ENSMUSG00000097493,9930014A18Rik,18.50880785,-1.673431277,0.522047798,-3.205513522,0.001348217,0.539993056
152,ENSMUSG00000000881,Dlg3,273.5616727,0.809189186,0.254917475,3.174318224,0.001501889,0.582406624
20457,ENSMUSG00000073102,Drc1,71.44703413,-4.943007461,1.559211414,-3.170197072,0.001523356,0.582406624
13533,ENSMUSG00000045725,Prr15,6.228805791,2.85237539,0.904308053,3.154207663,0.001609345,0.601609017
6092,ENSMUSG00000027387,Zc3h8,88.0104003,-0.594578011,0.189535744,-3.137023117,0.001706727,0.616311459
7970,ENSMUSG00000030689,Ino80e,327.429727,-0.855908739,0.273181439,-3.133114537,0.001729619,0.616311459
34407,ENSMUSG00000095260,Gm25890,15.3117935,21.48997304,6.869676886,3.128236363,0.001758587,0.616311459
1181,ENSMUSG00000008540,Mgst1,4.023311758,3.470918601,1.120937273,3.096443203,0.001958574,0.641346197
3051,ENSMUSG00000021338,Lrrc16a,129.1552499,-1.785508905,0.577304367,-3.092838037,0.001982523,0.641346197
4244,ENSMUSG00000024008,Cpne5,7.665178215,4.438211935,1.431720292,3.099915508,0.001935759,0.641346197
34669,ENSMUSG00000095580,Rnu1b1,21.16913688,21.35816816,6.870274844,3.108779292,0.00187862,0.641346197
13638,ENSMUSG00000046139,Patl1,356.8675786,-0.418898139,0.136064606,-3.078670862,0.002079263,0.651662866
33217,ENSMUSG00000093834,Rnu1b2,16.09262851,-21.14110629,6.870986396,-3.076866272,0.002091891,0.651662866
4364,ENSMUSG00000024201,Kdm4b,355.5307118,1.231685176,0.401619764,3.066794235,0.002163677,0.661770579
10225,ENSMUSG00000036019,Tmtc2,9.94653225,-3.991353376,1.306172757,-3.05576223,0.002244892,0.674349526
667,ENSMUSG00000004056,Akt2,293.389397,-0.762399537,0.253510424,-3.007369585,0.002635192,0.682000265
1318,ENSMUSG00000010392,Gosr1,216.8829789,-0.569233,0.189268027,-3.00754971,0.00263363,0.682000265
7212,ENSMUSG00000029279,Brdt,7.723191303,3.162181415,1.05147946,3.007363943,0.002635241,0.682000265
8738,ENSMUSG00000032035,Ets1,731.9447908,0.565839784,0.187432662,3.01889638,0.002536973,0.682000265
9997,ENSMUSG00000035295,Wdr38,9.035020198,3.003508224,0.991077468,3.03054839,0.002441101,0.682000265
11987,ENSMUSG00000040606,Kazn,17.15210172,-2.634956153,0.868288302,-3.034655823,0.002408103,0.682000265
13201,ENSMUSG00000044566,Cage1,7.724225904,-2.689521107,0.889125637,-3.024905587,0.002487108,0.682000265
14324,ENSMUSG00000048550,Thnsl1,47.99509331,-1.600856271,0.529174751,-3.025193978,0.002484737,0.682000265
36196,ENSMUSG00000097375,6720427I07Rik,135.4461046,-0.550028315,0.182754967,-3.00964907,0.002615497,0.682000265
1895,ENSMUSG00000018189,Uchl5,134.8219993,-0.620258735,0.20826585,-2.97820663,0.002899404,0.705107173
10405,ENSMUSG00000036585,Fgf1,32.15477724,3.080882884,1.035714346,2.97464537,0.002933274,0.705107173
11015,ENSMUSG00000038172,Ttc39b,423.0060874,-0.631286701,0.211808636,-2.980457797,0.002878179,0.705107173
14202,ENSMUSG00000048120,Entpd1,3648.391354,-0.756969324,0.254481229,-2.97455858,0.002934104,0.705107173
29666,ENSMUSG00000088219,Gm22077,4.175744041,-4.215281993,1.409407769,-2.990817906,0.002782314,0.705107173
33511,ENSMUSG00000094178,n-R5s118,18.41095597,-20.39579389,6.871178121,-2.968311042,0.002994411,0.709464647
2902,ENSMUSG00000021069,Pygl,59.97554262,1.895180093,0.640521654,2.958807216,0.003088322,0.71166793
15292,ENSMUSG00000052336,Cx3cr1,16871.37916,-0.825845302,0.27872372,-2.962953076,0.00304703,0.71166793
3968,ENSMUSG00000022899,Slc15a2,92.9807424,-2.194978084,0.750034935,-2.926501127,0.003427983,0.768873652
12109,ENSMUSG00000040918,Slc19a2,28.80588306,-1.39841475,0.477285507,-2.929933401,0.003390347,0.768873652
3631,ENSMUSG00000022357,Klhl38,23.89485845,1.24731857,0.430309534,2.898654275,0.003747679,0.799907688
4756,ENSMUSG00000024909,Efemp2,59.75649522,-1.449441347,0.500548761,-2.895704593,0.003783083,0.799907688
8105,ENSMUSG00000030921,Trim30a,1031.405207,-0.635361798,0.218975347,-2.901522046,0.003713546,0.799907688
13063,ENSMUSG00000044122,Proca1,3.712541669,4.738247786,1.637285657,2.893965244,0.003804103,0.799907688
34700,ENSMUSG00000095616,Gm26244,188.888792,-6.683673147,2.30808499,-2.895765613,0.003782348,0.799907688
11672,ENSMUSG00000039771,Polr2j,42.89804154,0.768961155,0.266922905,2.880836155,0.003966218,0.804065002
12142,ENSMUSG00000041040,Fam117b,832.3865293,0.363873707,0.126422236,2.878241345,0.003998991,0.804065002
13935,ENSMUSG00000047181,Samd14,9.908755483,-1.802192144,0.626419001,-2.876975539,0.004015067,0.804065002
41584,ENSMUSG00000103076,Gm37902,33.69728594,-0.995503865,0.345686971,-2.879784163,0.003979475,0.804065002
5444,ENSMUSG00000026239,Pde6d,29.60300172,1.233505421,0.431528672,2.858455303,0.004257091,0.842503307
7274,ENSMUSG00000029387,Gtf2h3,33.44090818,1.114957772,0.390606852,2.854424506,0.004311488,0.843347058
1976,ENSMUSG00000018651,Tada2a,71.81897884,-1.015769526,0.357405351,-2.8420658,0.004482224,0.856817858
7315,ENSMUSG00000029446,Psph,48.75483431,-1.386123591,0.487370423,-2.844086397,0.004453897,0.856817858
15036,ENSMUSG00000051234,Rnf7,135.4650418,-0.559648275,0.197212296,-2.837796053,0.00454262,0.858606182
8606,ENSMUSG00000031835,Mbtps1,765.7502492,0.28034421,0.098973547,2.832516567,0.004618317,0.863214818
6573,ENSMUSG00000028234,Rps20,357.9462282,-0.44329334,0.158366796,-2.799155833,0.00512364,0.901387269
6857,ENSMUSG00000028703,Lrrc41,168.6762999,-0.69265351,0.248155704,-2.791205268,0.005251216,0.901387269
11568,ENSMUSG00000039496,Cdnf,17.47679544,-3.477052647,1.23694522,-2.810999704,0.004938783,0.901387269
11933,ENSMUSG00000040478,Prdm13,4.386916277,-4.257866635,1.52393725,-2.793990785,0.005206196,0.901387269
12744,ENSMUSG00000042854,Trp53rkb,66.95766871,-2.201588791,0.788460902,-2.792261209,0.005234108,0.901387269
14815,ENSMUSG00000050428,Fbxo46,94.51876766,0.524424737,0.187600397,2.795435117,0.00518299,0.901387269
20592,ENSMUSG00000073616,Myeov2,35.0883332,-1.048567455,0.374789545,-2.797750018,0.005145992,0.901387269
33728,ENSMUSG00000094437,Gm9830,5.33781285,-5.533747568,1.967035955,-2.813241697,0.004904477,0.901387269
5077,ENSMUSG00000025487,Psmd13,275.6522932,1.305283932,0.46823265,2.787682432,0.005308655,0.902042452
14702,ENSMUSG00000050029,Rap2c,341.2518088,-0.309137921,0.111149199,-2.781287877,0.00541437,0.910805346
6636,ENSMUSG00000028354,Fmn2,25.69202121,2.959459765,1.066922624,2.773827923,0.005540097,0.917138953
14824,ENSMUSG00000050471,Fam118b,123.1027307,-0.610781419,0.22036906,-2.771629641,0.005577646,0.917138953
16437,ENSMUSG00000057530,Ece1,586.5595458,-3.072135902,1.109305728,-2.769422193,0.005615582,0.917138953
267,ENSMUSG00000001507,Itga3,15.52829628,2.683392782,0.998674104,2.686955406,0.007210658,0.957601548
